x,y,z_reported,z_down,z_up,bias,down_spread,up_spread,reps,freq
60.000,60.000,0.056528,0.020168,0.092887,0.072719,0.000000,0.000000,1,214.00
60.000,60.000,0.082545,0.073938,0.091152,0.017214,0.000000,0.000000,1,214.00
60.000,60.000,0.084837,0.074048,0.095626,0.021578,0.000000,0.000000,1,214.00
60.000,60.000,0.084160,0.074050,0.094270,0.020220,0.000000,0.000000,1,214.00
60.000,60.000,0.083210,0.074034,0.092385,0.018352,0.000000,0.000000,1,214.00
60.000,60.000,0.078973,0.046524,0.111423,0.064899,0.000000,0.000000,1,214.00
60.000,60.000,-0.070675,-0.010623,-0.130728,-0.120104,0.000000,0.000000,1,214.00
60.000,60.000,0.053321,0.012879,0.093763,0.080884,0.000000,0.000000,1,214.00
60.000,60.000,0.020502,-0.012618,0.053622,0.066240,0.000000,0.000000,1,214.00
60.000,60.000,0.086158,0.076930,0.095386,0.018456,0.000000,0.000000,1,214.00
60.000,60.000,0.052374,0.009294,0.095453,0.086159,0.000000,0.000000,1,214.00
60.000,60.000,0.031894,0.013555,0.050233,0.036677,0.000000,0.000000,1,214.00
60.000,60.000,0.087477,0.078322,0.096632,0.018311,0.000000,0.000000,1,214.00
60.000,60.000,0.085536,0.075773,0.095298,0.019525,0.000000,0.000000,1,214.00
60.000,60.000,0.052248,0.012840,0.091656,0.078816,0.000000,0.000000,1,214.00
60.000,60.000,0.082766,0.074835,0.090697,0.015863,0.000000,0.000000,1,214.00
60.000,60.000,0.096922,0.080848,0.112995,0.032147,0.000000,0.000000,1,214.00
60.000,60.000,-0.047352,0.004014,-0.098718,-0.102732,0.000000,0.000000,1,214.00
60.000,60.000,0.003945,-0.013078,0.020967,0.034045,0.000000,0.000000,1,214.00
60.000,60.000,-0.079978,-0.021749,-0.138207,-0.116458,0.000000,0.000000,1,214.00
60.743,60.000,0.089055,0.093544,0.084566,-0.008978,0.000000,0.000000,1,213.59
60.743,60.000,0.086336,0.082881,0.089791,0.006910,0.000000,0.000000,1,213.59
